name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Mesut_�zil_13,0,22,0,0,0,3,0,0,20,28.3,0,0,13,0,0,340,1,0,0,6,18418,6,2,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,45,1,1,18,0,0,0,0,2,0,34,0,168078,1,0,0,1,0,26,1,-5753,4389,10142,79,FALSE,0,0,Mesut,Özil,4,3,79,1462,17,591.8,352.8,218,9,315,116.4,5,0,1,2.7,79,Mesut,Özil,13
Aaron_Ramsey_14,0,65,0,0,0,14,1,1,59,31.9,0,0,14,0,0,340,2,0,0,8.5,18419,14,2,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,67,0,1,18,0,0,0,0,3,0,34,0,90435,1,1,1,1,0,39,3,16409,25642,9233,71,FALSE,0,0,Aaron,Ramsey,4,6,91,1319,13,387.2,418.4,502,4,298,131,9,0,0,1.7,71,Aaron,Ramsey,14
Alex_Iwobi_15,0,62,1,0,0,18,1,0,55,89.3,1,0,15,0,0,340,0,0,0,18.6,18420,31.4,7,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,90,0,1,18,0,0,0,0,2,0,34,0,99400,4,0,0,1,0,65,3,-4660,2701,7361,54,FALSE,0,0,Alex,Iwobi,3,6,84,1698,26,500.4,394.4,524,1,329,141.9,4,0,0,1.6,54,Alex,Iwobi,15
Mohamed_Elneny_16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,340,0,0,0,0,18421,0,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,144788,0,0,0,1,0,0,0,-1067,953,2020,42,FALSE,0,0,Mohamed,Elneny,0,0,6,220,2,32.3,48.4,51,0,25,13.2,0,0,0,2.3,42,Mohamed,Elneny,16
Granit_Xhaka_17,0,100,0,0,0,16,1,4,88,31.3,0,0,17,0,0,340,1,0,0,7.3,18422,25.4,2,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,90,0,1,18,0,0,0,0,6,0,34,0,141010,0,0,0,1,0,16,3,-3358,299,3657,52,FALSE,0,0,Granit,Xhaka,4,2,83,2242,30,565.3,580.2,189,8,414,133.7,7,0,8,2.2,52,Granit,Xhaka,17
Henrikh_Mkhitaryan_18,0,43,1,1,0,11,1,2,35,18.8,0,0,18,0,0,340,0,0,0,8.5,18423,10.4,1,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,90,0,1,18,0,0,0,0,6,0,34,0,318878,2,0,2,1,0,56,3,-16147,6345,22492,68,FALSE,0,0,Henrikh,Mkhitaryan,6,4,91,1342,20,385.9,402.6,497,12,317,128.6,3,0,1,5,67,Henrikh,Mkhitaryan,18
Reiss_Nelson_19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,340,0,0,0,0,18424,0,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,24270,0,0,0,1,0,0,0,-34,2,36,44,FALSE,0,0,Reiss,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,Reiss,Nelson,19
Ainsley_Maitland-Niles_20,0,15,0,0,0,4,0,1,14,1.4,0,0,20,0,0,340,0,0,0,1.2,18425,8.6,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,22,0,0,18,0,0,0,0,3,0,34,0,27453,0,0,0,1,0,2,1,163,1847,1684,44,FALSE,0,0,Ainsley,Maitland-Niles,1,1,33,813,12,90.5,198.4,118,3,132,40.6,2,0,1,0.4,44,Ainsley,Maitland-Niles,20
Danny_Welbeck_21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,340,0,0,0,0,18426,0,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,28171,0,0,0,1,0,0,0,-56,62,118,64,FALSE,0,0,Danny,Welbeck,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.4,64,Danny,Welbeck,21
Alexandre_Lacazette_22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,340,0,0,0,0,18427,0,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,712627,0,0,0,1,0,0,0,18477,105627,87150,94,FALSE,0,0,Alexandre,Lacazette,13,11,155,2149,23,412.7,762.6,1067,20,525,223.9,6,0,2,11.6,94,Alexandre,Lacazette,22
