name,lname,ID,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,assists,attempted_passes
Maxime,Le Marchand,455,0,0,0,0,0,0,0,0,0,0,455,0,0,158,0,0,0,0,8594,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,12195,0,0,0,1,4,0,0,360,768,408,42,FALSE,0,0,0,0
Jean Michael,Seri,456,0,0,0,10,0,0,52,28.6,1,0,456,0,0,158,4,4,0,3.6,8595,7.8,3,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,14,0,0,0,0,5,0,16,0,126049,0,1,0,1,4,0,1,-5785,1091,6876,52,FALSE,0,1,0,63
Danny,Ward,457,0,0,0,0,0,0,0,0,0,0,457,0,0,157,0,0,0,0,8596,0,0,2018-12-08T19:45:00Z,12/8/2019 19:45,0,0,0,0,0,17,0,0,0,0,0,0,16,0,9333,0,0,0,2,0,0,0,-68,11,79,44,TRUE,0,0,0,0
Robert Kenedy,Nunes do Nascimento,458,0,0,0,3,0,0,1,0.3,1,0,458,0,0,159,0,1,0,0.1,8597,1,0,2018-12-09T16:00:00Z,12/9/2019 16:00,0,0,1,0,0,20,0,0,0,0,1,0,16,0,88004,1,0,0,2,1,0,1,-9258,1791,11049,49,TRUE,0,0,0,1
Jorge Luiz,Frello Filho,459,0,0,0,7,1,2,32,1.8,0,0,459,0,0,155,1,0,0,0.4,8598,2.2,0,2018-12-08T17:30:00Z,12/8/2019 17:30,0,0,90,0,0,13,0,0,0,0,4,0,16,0,465378,1,0,0,0,2,0,2,-24684,1685,26369,49,TRUE,0,1,0,37
Cyrus,Christie,460,0,0,0,0,0,0,0,0,0,0,460,0,0,158,0,0,0,0,8599,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,8199,0,0,0,1,4,0,0,18,153,135,42,FALSE,0,0,0,0
Erik,Durm,461,0,0,0,6,0,2,6,0.1,0,0,461,0,0,151,0,1,0,0.5,8600,5.2,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,20,0,0,1,0,0,0,0,2,0,16,0,6897,0,1,0,0,1,0,1,-70,190,260,44,FALSE,0,0,0,10
Xherdan,Shaqiri,462,0,0,0,8,1,0,29,16.6,0,0,462,0,0,152,0,0,0,3.2,8601,7.4,1,2018-12-08T12:30:00Z,12/8/2019 12:30,0,0,64,0,0,2,0,0,0,0,1,0,16,0,204706,3,0,0,4,0,8,3,32902,39127,6225,70,FALSE,0,0,0,35
Jannik,Vestergaard,463,0,0,0,13,0,10,29,20.6,0,0,463,1,0,154,0,1,0,5.4,8602,25,2,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,5,0,0,0,0,4,0,16,0,14211,0,0,0,0,1,8,2,-235,86,321,46,FALSE,0,0,0,40
Fabián,Balbuena,464,0,0,0,12,0,11,29,0.5,0,0,464,0,0,160,1,2,0,3.8,8603,17.4,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,7,0,0,0,0,2,0,16,0,72732,0,0,0,2,3,20,1,7078,9985,2907,44,TRUE,0,0,0,37
