first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Lys,Mousset,1,0,23,286,14,53.5,58.2,106,0,69,21.5,0,0,1,0.2,49,Lys,Mousset,44
Joshua,King,9,3,107,2125,41,415.5,514.4,803,17,357,172.9,7,0,2,6.1,64,Joshua,King,45
Jermain,Defoe,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4,56,Jermain,Defoe,46
Mathew,Ryan,0,0,71,2070,36,0,473.6,0,7,368,47.4,4,0,1,2.9,44,Mathew,Ryan,47
Lewis,Dunk,2,0,64,2161,37,74.4,564,166,5,399,80.8,5,1,4,2.2,44,Lewis,Dunk,48
Shane,Duffy,5,2,88,2097,36,50.5,727.2,382,6,411,116.1,5,1,4,5.8,47,Shane,Duffy,49
Bruno,Saltor Grau,0,1,31,619,6,65.3,104.4,14,4,132,18.4,3,0,2,0.3,44,Bruno,Saltor Grau,50
Gaëtan,Bong,0,0,41,1625,31,151.1,201.4,8,0,226,35.9,4,0,0,0.1,44,Gaëtan,Bong,51
Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,38,Markus,Suttner,52
Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,38,Ezequiel,Schelotto,53
Leon,Balogun,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1,42,Leon,Balogun,54
Anthony,Knockaert,1,5,55,1289,27,371.7,278.2,277,1,209,92.7,2,0,3,0.5,52,Anthony,Knockaert,55
Dale,Stephens,1,0,40,1584,31,122.8,277.4,46,2,235,44.5,3,1,4,3,44,Dale,Stephens,56
Beram,Kayal,1,1,27,707,11,53.6,187.2,49,0,114,29.1,3,0,4,0.4,44,Beram,Kayal,57
Solomon,March,1,5,79,2054,36,596.3,405.2,284,5,293,128.7,5,0,1,0.9,49,Solomon,March,58
Pascal,Groß,2,2,58,1361,22,645.5,327,290,9,263,126.4,2,0,0,1.7,67,Pascal,Groß,59
Davy,Pröpper,1,1,58,2042,36,191.7,321.2,113,3,284,62.8,3,0,2,0.1,48,Davy,Pröpper,60
José Heriberto,Izquierdo Mena,0,2,23,574,6,61.3,59.2,140,0,70,26.1,2,0,1,0.1,59,José Heriberto,Izquierdo Mena,61
Glenn,Murray,10,0,95,1773,32,134.9,369.4,613,13,256,110.4,3,0,3,2.5,63,Glenn,Murray,62
Tomer,Hemed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,Tomer,Hemed,63
Sam,Baldock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,Sam,Baldock,64
Jürgen,Locadia,2,0,45,1005,14,170.6,144.6,332,6,134,64.4,3,0,1,0.4,53,Jürgen,Locadia,65
Florin,Andone,2,0,28,529,7,27.1,97.6,271,2,62,39,1,0,1,0.2,50,Florin,Andone,66
Tom,Heaton,0,0,33,810,9,20,238.4,0,3,168,25.8,2,0,1,0.6,48,Tom,Heaton,67
Nick,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,48,Nick,Pope,68
Matthew,Lowton,0,0,22,1208,32,103.3,225.6,28,0,193,35.8,3,0,5,0.2,46,Matthew,Lowton,69
Ben,Mee,0,2,63,2520,50,91.1,653,165,4,424,91,6,0,7,1.7,46,Ben,Mee,70
Stephen,Ward,0,0,7,228,6,17.2,48.4,19,0,44,8.5,1,0,1,0.5,47,Stephen,Ward,71
James,Tarkowski,3,1,73,2186,45,45.8,760.4,361,4,381,116.9,5,0,5,4.4,47,James,Tarkowski,72
Kevin,Long,0,1,16,513,9,11.6,147.8,8,0,101,16.8,1,0,0,0.3,41,Kevin,Long,73
Charlie,Taylor,0,0,57,2340,46,189.6,458.2,27,1,371,67.6,5,0,2,0.4,44,Charlie,Taylor,74
Phil,Bardsley,0,0,28,1310,18,98.3,227.6,63,0,176,38.9,3,0,8,0.2,42,Phil,Bardsley,75
Johann Berg,Gudmundsson,2,6,73,1490,32,483.3,361.2,323,5,275,116.9,5,0,2,1.1,55,Johann Berg,Gudmundsson,76
Steven,Defour,0,0,10,449,14,36.6,61.4,0,0,70,9.9,0,0,0,0,53,Steven,Defour,77
Jeff,Hendrick,1,2,51,1418,34,145.5,157,207,3,179,51,2,0,3,0.2,52,Jeff,Hendrick,78
Robbie,Brady,0,1,15,598,12,164.6,84.2,81,0,59,33.1,1,1,3,0,54,Robbie,Brady,79
Ashley,Westwood,0,6,69,1921,37,461.5,400.2,146,5,346,101.2,5,0,4,2.8,46,Ashley,Westwood,80
Jonathan,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Jonathan,Walters,81
Jack,Cork,1,2,66,2412,45,215.2,376.6,186,0,337,78,6,0,5,0.6,46,Jack,Cork,82
Aaron,Lennon,1,1,41,1214,22,121.2,151.6,108,2,133,38,3,0,1,0.3,49,Aaron,Lennon,83
Sam,Vokes,3,0,48,907,20,108.6,152,292,7,130,54.3,2,0,0,0.7,53,Sam,Vokes,84
Ashley,Barnes,8,3,88,1502,24,230,384.8,711,10,268,132,5,0,5,3.1,57,Ashley,Barnes,85
Nahki,Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,45,Nahki,Wells,86
Chris,Wood,7,0,85,1756,34,185.5,319.2,623,12,242,111.7,5,0,2,1.3,62,Chris,Wood,87
Neil,Etheridge,0,0,114,2520,55,10,812.4,0,15,563,82,7,0,2,12.7,47,Neil,Etheridge,88
Alex,Smithies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,Alex,Smithies,89
Sean,Morrison,0,4,64,2139,49,183.2,446.8,358,2,341,98.9,6,0,4,0.3,47,Sean,Morrison,90
Sol,Bamba,4,1,96,2430,50,51,779,304,11,462,113.4,7,0,6,4.9,47,Sol,Bamba,91
Bruno,Ecuele Manga,0,1,69,2520,55,102.9,505.2,104,2,425,71.5,7,0,0,0.4,44,Bruno,Ecuele Manga,92
Matthew,Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,38,Matthew,Connolly,93
Joe,Bennett,0,1,54,1768,36,186.5,318.8,43,4,294,54.9,6,0,2,0.4,44,Joe,Bennett,94
Lee,Peltier,0,0,19,642,12,21.9,126.6,6,0,99,15.5,2,0,1,4,39,Lee,Peltier,95
Ashley Darel Jazz,Richards,0,0,1,97,4,1.5,12.2,0,0,11,1.5,0,0,0,0.5,39,Ashley Darel Jazz,Richards,96
