assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,33,0,24286,0,0,0,0,1,0,0,-29,4,33,44,FALSE,0,0,Henrikh,Mkhitaryan,6,4,88,1252,20,367.1,392.2,441,12,306,120.1,2,0,1,5.2,68,18,,,,,
0,35,0,0,0,8,0,5,26,2,1,0,1,1,1,0,3.3,11.4,0,0,0,90,0,0,8,0,0,0,0,6,0,33,0,27566,3,0,0,0,1,20,2,2037,2609,572,44,FALSE,0,0,Reiss,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,44,19,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,33,0,28196,0,0,0,0,1,0,0,-13,72,85,64,FALSE,0,0,Ainsley,Maitland-Niles,1,1,32,791,12,89.1,189.8,116,3,128,39.4,2,0,1,0.4,44,20,,,,,
0,18,0,0,0,5,0,2,14,5.3,1,0,0,1,1,0,3.8,11.6,0,0,0,90,2,0,8,0,0,0,0,5,0,33,0,718143,1,0,0,0,1,21,2,184129,192097,7968,94,FALSE,0,0,Danny,Welbeck,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.4,64,21,,,,,
0,8,0,0,0,6,0,0,4,15,1,0,0,0,0,0,2,5.4,1,0,0,45,0,1,8,0,0,0,0,1,0,33,0,1242672,0,0,0,0,1,0,1,132301,147658,15357,108,FALSE,0,0,Alexandre,Lacazette,13,11,155,2149,23,412.7,762.6,1067,20,525,223.9,6,0,2,11.3,94,22,,,,,
0,28,0,0,0,3,0,1,19,0,0,2,0,0,3,0,0,0,0,0,0,90,0,0,4,0,0,0,0,10,0,33,0,192499,0,0,0,3,1,0,1,7311,9201,1890,43,TRUE,0,0,Pierre-Emerick,Aubameyang,17,7,169,2272,34,409.3,792.2,1152,26,611,235.2,6,0,0,19.4,109,23,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,594693,0,0,0,3,1,0,0,-8172,5913,14085,41,TRUE,0,0,Asmir,Begovic,0,0,63,2160,47,0,440.6,0,4,363,44.2,5,0,0,3,43,24,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,12811,0,0,0,3,1,0,0,-84,16,100,43,TRUE,0,0,Artur,Boruc,0,0,36,810,14,0,226.8,0,4,168,22.8,3,0,1,9.2,41,25,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,256315,0,0,0,3,1,0,0,-7180,48,7228,43,TRUE,0,0,Simon,Francis,0,2,40,1227,24,173.3,332.4,39,0,244,54.4,4,0,1,0.2,43,26,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,271418,0,0,0,3,1,0,0,376,5433,5057,41,TRUE,0,0,Steve,Cook,1,1,70,2340,47,109.2,627,279,5,453,101.4,7,0,2,4.1,43,27,,,,,
