name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,points_per_game,winning_goals,yellow_cards,first_name,second_name,t_goals_scored,t_assists,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,gw16_pts,dream_team
Adama_TraorÈ_500,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,148,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19977,0,0,0,1,2,0,0,-606,248,854,53,TRUE,1.6,0,0,Adama,Traor√©,0.066666667,0,386,4,148.1,132.6,146,2,83,42.7,0,0,1,0.3,1,0
Lucas_PÈrez_502,0,16,0,0,3,55,0,1,10,5.6,1,0,502,0,0,147,0,1,2,11.1,69,0,0,0,50,0,0,5,0,0,0,0,2,0,0,6852,0,0,0,1,3,36,12,-55,112,167,62,TRUE,2.8,1,0,Lucas,P√©rez,0.133333333,0,157,4,37.1,80.8,60,3,71,17.8,0,0,0,0.3,1,0
Jordan_Ayew_505,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,142,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12334,0,0,0,1,3,0,0,-174,310,484,57,FALSE,2,0,0,Jordan,Ayew,0,1,560,6,91.8,44.8,150,0,27,28.7,2,0,1,0.2,1,0
Luciano_Vietto_513,0,12,0,0,0,-2,0,0,10,3.2,1,0,513,0,0,144,3,0,0,2,0,0,0,0,45,0,0,11,0,0,0,0,2,0,0,34634,3,0,0,1,1,20,1,-1807,922,2729,55,TRUE,2.8,0,0,Luciano,Vietto,0,4,595,15,191.8,122,137,3,100,44.7,0,0,1,0.6,1,0
Federico_Fern·ndez_516,0,23,0,0,0,8,0,12,13,0.1,0,0,516,0,0,149,2,1,0,2.1,21,0,0,0,90,0,0,8,0,0,0,0,6,0,0,29806,1,0,0,1,1,0,1,8,2002,1994,44,FALSE,3.3,0,1,Federico,Fern√°ndez,0,2,1080,16,41.7,269.2,45,5,216,35.6,3,0,2,0.5,1,0
Ibrahima_CissÈ_521,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,144,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4675,0,0,0,1,1,0,0,-36,79,115,44,TRUE,0,0,0,Ibrahima,Ciss√©,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0
Nampalys_Mendy_527,0,29,0,0,0,5,0,1,23,0.8,0,0,527,0,0,144,2,1,0,0.9,7.8,0,0,0,70,0,0,9,0,0,0,0,5,0,0,73963,0,0,0,1,1,0,2,3965,6912,2947,45,FALSE,2.5,0,0,Nampalys,Mendy,0,1,1150,15,50.9,130.4,20,0,171,20.3,5,0,1,1.3,1,0
Kadeem_Harris_535,0,6,0,0,0,3,0,0,3,0.2,1,0,535,0,0,147,0,0,0,0.1,1.2,0,0,0,17,0,0,19,0,0,0,0,1,0,0,1573,1,0,0,1,3,0,1,-82,115,197,45,FALSE,2.3,0,0,Kadeem,Harris,0.066666667,1,223,4,52.7,55.2,46,0,57,15.3,0,0,1,0,1,0
Grady_Diangana_539,0,14,0,0,0,4,0,0,11,24.9,0,0,539,0,0,147,0,1,0,8.4,14.6,2,0,0,14,0,0,5,0,0,0,0,2,0,0,15665,1,0,0,1,3,44,1,-2941,318,3259,45,TRUE,1.9,0,0,Grady,Diangana,0,1,323,8,107.2,72.4,87,0,47,26.7,1,0,0,0.3,1,0
Petr_Cech_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,145,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,81015,0,0,0,2,2,0,0,-1607,188,1795,49,FALSE,3.4,0,0,Petr,Cech,0,0,585,9,0,205,0,3,130,20.4,1,0,0,1.4,0,0
Laurent_Koscielny_3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,145,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5977,0,0,0,2,2,0,0,-13,35,48,54,FALSE,0,0,0,Laurent,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
Rob_Holding_6,0,31,0,0,0,5,0,3,23,1.2,0,0,6,0,0,145,0,1,0,0.7,6,0,0,0,35,0,0,14,0,0,0,0,2,0,0,54139,1,0,0,2,2,0,1,2053,3797,1744,44,FALSE,2.4,0,0,Rob,Holding,0,0,806,10,28.7,187.8,14,5,148,23.2,1,0,1,0.9,0,0
Calum_Chambers_9,0,37,0,0,0,14,0,8,20,22.1,0,0,9,0,0,144,2,1,0,9.6,23.6,2,0,0,90,0,0,11,0,0,0,0,7,0,0,50377,1,2,1,1,1,50,2,537,1362,825,42,TRUE,0.9,0,0,Calum,Chambers,0,0,696,15,52,185.6,169,0,98,40.8,0,0,2,0.9,0,0
Konstantinos_Mavropanos_10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,145,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5856,0,0,0,2,2,0,0,-50,27,77,47,FALSE,0,0,0,Konstantinos,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
Stephan_Lichtsteiner_11,0,28,0,0,0,5,0,5,25,1.9,0,0,11,0,0,145,0,1,0,1.9,17.4,0,0,0,54,0,0,14,0,0,0,0,1,0,0,50753,0,0,0,2,2,0,1,-408,226,634,45,FALSE,1,0,0,Stephan,Lichtsteiner,0,0,214,4,20.6,30.8,3,0,13,5.4,0,0,1,0.9,0,0
Mesut_÷zil_13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,145,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,211143,0,0,0,2,2,0,0,-58522,833,59355,82,FALSE,4.6,0,0,Mesut,√ñzil,0.2,1,820,11,306,224,107,7,180,63.8,2,0,1,3.5,0,0
Aaron_Ramsey_14,0,32,0,0,0,6,0,0,26,14.1,0,0,14,0,0,145,2,1,0,2.7,2.8,1,0,0,45,0,0,14,0,0,0,0,1,0,0,73431,0,0,0,2,2,10,1,4343,6670,2327,73,FALSE,3.1,0,0,Aaron,Ramsey,0.066666667,6,650,7,247.1,228.8,210,1,163,68.7,3,0,0,1.3,0,0
Mohamed_Elneny_16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,145,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,133690,0,0,0,2,2,0,0,-2226,863,3089,43,FALSE,0,0,0,Mohamed,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0
Reiss_Nelson_19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,145,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,26208,0,0,0,2,2,0,0,-206,3,209,44,FALSE,0,0,0,Reiss,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
Ainsley_Maitland-Niles_20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,145,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14481,0,0,0,2,2,0,0,-199,126,325,44,FALSE,1,0,0,Ainsley,Maitland-Niles,0,0,34,1,10.3,10.8,0,0,7,2.1,0,0,0,0.2,0,0
Danny_Welbeck_21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,145,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,31868,0,0,0,2,2,0,0,-639,55,694,65,FALSE,2.4,0,0,Danny,Welbeck,0.066666667,1,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.5,0,0
Asmir_Begovic_24,0,23,0,0,0,19,0,0,12,0,0,0,24,0,0,141,0,1,0,3.4,34,0,0,0,90,0,0,10,0,0,0,0,10,0,5,240526,0,0,0,1,2,0,3,966,4078,3112,45,TRUE,3.2,0,0,Asmir,Begovic,0,0,1350,22,0,324.6,0,2,255,32.6,4,0,0,4,0,0
Artur_Boruc_25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,141,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,360749,0,0,0,1,2,0,0,-998,2208,3206,40,TRUE,0,0,0,Artur,Boruc,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0
