first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Gaëtan,Bong,0,0,42,1715,34,151.7,211.4,8,0,235,37,4,0,0,0.1,44,Gaëtan,Bong,51
Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,38,Markus,Suttner,52
Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,38,Ezequiel,Schelotto,53
Leon,Balogun,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1,42,Leon,Balogun,54
Anthony,Knockaert,2,6,71,1602,32,528.2,363.8,314,2,273,120.7,3,0,4,0.8,52,Anthony,Knockaert,55
Dale,Stephens,1,1,53,1944,36,193.3,377.6,66,4,318,63.6,4,1,5,3.2,43,Dale,Stephens,56
Beram,Kayal,1,1,28,712,11,53.7,189.4,49,0,117,29.3,3,0,4,0.3,44,Beram,Kayal,57
Solomon,March,1,5,82,2127,36,600.8,411,290,5,303,130.3,5,0,1,0.7,48,Solomon,March,58
Pascal,Groß,2,2,58,1361,22,645.5,327,290,9,263,126.4,2,0,0,1.4,67,Pascal,Groß,59
Davy,Pröpper,1,1,67,2385,41,241.7,374,121,3,329,73.9,4,0,2,0.2,48,Davy,Pröpper,60
José Heriberto,Izquierdo Mena,0,2,24,586,6,62.4,59.4,142,0,73,26.4,2,0,1,0.1,59,José Heriberto,Izquierdo Mena,61
Glenn,Murray,11,0,103,2029,34,144.1,400.8,704,13,271,123.1,3,0,5,3,63,Glenn,Murray,62
Tomer,Hemed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,Tomer,Hemed,63
Sam,Baldock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,45,Sam,Baldock,64
Jürgen,Locadia,2,0,47,1022,14,171.7,147.8,339,6,140,65.5,3,0,1,0.3,53,Jürgen,Locadia,65
Florin,Andone,3,0,34,631,10,29.5,132.6,325,2,87,48.1,1,0,2,0.2,50,Florin,Andone,66
Tom,Heaton,0,0,43,1260,19,20,299.4,4,3,232,32.3,3,0,1,0.6,48,Tom,Heaton,67
Nick,Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,48,Nick,Pope,68
Matthew,Lowton,0,0,24,1298,33,104,240.2,28,0,204,37.3,3,0,5,0.2,46,Matthew,Lowton,69
Ben,Mee,0,2,72,2970,60,98.8,749.2,206,5,497,105.5,7,0,9,1.7,46,Ben,Mee,70
Stephen,Ward,0,0,7,228,6,17.2,48.4,19,0,44,8.5,1,0,1,0.5,47,Stephen,Ward,71
James,Tarkowski,3,2,89,2636,55,57.6,869,373,7,455,130.2,6,0,5,4.4,47,James,Tarkowski,72
Kevin,Long,0,1,16,513,9,11.6,147.8,8,0,101,16.8,1,0,0,0.3,41,Kevin,Long,73
Charlie,Taylor,0,1,71,2790,56,240.3,569.2,29,2,444,84,6,0,2,0.4,44,Charlie,Taylor,74
Phil,Bardsley,0,0,33,1670,27,139.6,267.8,66,0,224,47.4,4,0,9,0.2,42,Phil,Bardsley,75
Johann Berg,Gudmundsson,3,6,85,1635,36,546.4,414.2,364,6,314,132.6,5,0,2,1.1,55,Johann Berg,Gudmundsson,76
Steven,Defour,0,0,10,449,14,36.6,61.4,0,0,70,9.9,0,0,0,0,53,Steven,Defour,77
Jeff,Hendrick,1,2,58,1712,39,159.4,169.6,241,3,192,57,3,0,4,0.2,52,Jeff,Hendrick,78
Robbie,Brady,0,1,17,627,14,174.9,91.4,81,0,64,34.8,1,1,3,0,54,Robbie,Brady,79
Ashley,Westwood,2,8,101,2371,47,576.7,559,217,10,467,135.7,6,0,4,3.2,46,Ashley,Westwood,80
Jonathan,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Jonathan,Walters,81
Jack,Cork,1,2,77,2862,55,276.9,436.4,212,0,392,92.7,7,0,5,0.5,46,Jack,Cork,82
Aaron,Lennon,1,1,41,1214,22,121.2,151.6,108,2,133,38,3,0,1,0.3,49,Aaron,Lennon,83
Sam,Vokes,3,0,48,907,20,108.6,152,292,7,130,54.3,2,0,0,0.6,53,Sam,Vokes,84
Ashley,Barnes,10,3,103,1947,33,281.8,472.6,883,10,332,163.2,6,0,6,2.9,57,Ashley,Barnes,85
Nahki,Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,45,Nahki,Wells,86
