assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,28171,0,0,0,1,0,0,0,-56,62,118,64,0,0,0,1,1,19,146,3,56.8,73.6,66,3,63,19.5,0,0,0,0.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,712627,0,0,0,1,0,0,0,18477,105627,87150,94,0,0,0,13,11,155,2149,23,412.7,762.6,1067,20,525,223.9,6,0,2,11.6
0,22,0,1,0,24,1,0,15,4.3,1,0,0,0,0,1,12.7,30.8,0,0,0,90,3,0,18,0,0,0,0,0,0,0,1194216,2,0,2,1,0,92,6,-31354,49772,81126,109,0,1,0,18,7,175,2362,34,413.6,823,1244,26,635,247.9,7,0,0,19.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,187470,0,0,0,5,0,0,0,-3158,1902,5060,43,0,0,0,0,0,63,2160,47,0,440.6,0,4,363,44.2,5,0,0,2.9
0,22,0,0,0,19,1,0,14,0,0,0,0,0,0,0,0.9,9.4,0,0,0,90,0,0,3,0,0,0,0,6,0,1,556661,0,0,0,5,0,0,5,-39840,1889,41729,41,0,0,1,0,0,41,900,14,0,236.2,0,4,187,23.7,4,0,2,8.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12730,0,0,0,5,0,0,0,-87,12,99,43,0,0,0,0,2,40,1227,24,173.3,332.4,39,0,244,54.4,4,0,1,0.2
0,42,0,0,0,27,1,8,36,0,0,0,0,0,0,0,2.8,21.2,0,0,0,86,0,0,3,0,0,0,0,5,0,0,250074,0,0,0,5,0,7,6,-7081,40,7121,43,0,0,0,1,1,76,2426,47,109.2,648.2,286,5,480,104.2,8,0,2,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,242947,0,0,0,5,0,0,0,-27950,94,28044,41,0,0,0,1,0,44,1583,34,215.4,289.8,156,1,278,66.2,4,0,4,3.7
0,37,0,0,0,25,1,6,31,3.2,1,0,0,1,0,0,2.5,20,0,0,0,90,0,0,3,0,0,0,0,5,0,0,28106,1,0,0,5,0,2,6,-697,733,1430,43,0,0,0,1,0,60,1887,28,139.3,307.8,106,0,319,55.4,7,1,5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6417,0,0,0,5,0,0,0,-34,2,36,42,0,0,0,0,0,5,141,4,16.3,49,2,0,41,6.8,0,0,0,0.1
0,41,0,0,0,22,1,3,32,21.2,1,0,0,2,0,0,5.3,25.4,1,0,0,90,0,2,3,0,0,0,0,8,0,0,385270,0,0,0,5,0,6,5,-14829,6013,20842,51,0,0,1,3,1,103,3051,61,78.5,897.8,343,6,631,132,9,0,3,6.2
0,4,0,0,0,3,0,0,4,0.1,0,0,0,0,0,0,0.1,0.6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,390392,0,0,0,5,0,0,1,-7168,1218,8386,39,0,0,0,0,0,3,85,1,0.1,19.4,0,0,16,2,0,0,0,6.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11532,0,0,0,2,0,0,0,117,195,78,49,0,0,0,0,1,48,1999,39,188.8,230.6,170,0,225,58.9,7,0,10,0.2
