assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,F_pts,in_dreamteam
0,20,0,0,0,28,1,0,6,0,0,0,0,0,0,0,2.5,25.2,0,0,0,90,0,0,9,0,0,0,0,6,0,4,13724,0,0,0,0,2,0,7,124,388,264,43,1,0,0,0,0,6.7,270,2,0,92.4,0,3,72,9.2,2,0,0,0.2,8,1
0,24,0,0,0,0,1,0,20,14.6,1,0,0,0,0,0,3.5,1.2,1,0,0,83,1,0,17,0,0,0,0,2,0,0,161277,7,1,2,0,2,19,2,-7998,13187,21185,95,1,0,0,2,0,4.8,327,8,69.9,85.2,158,3,71,31.3,2,0,0,2.7,8,1
0,53,0,0,0,14,0,5,48,0.6,0,0,0,0,2,0,2.8,21,0,0,0,90,0,0,11,0,0,0,0,8,0,0,138707,1,0,1,1,2,6,1,-6781,264,7045,45,0,0,0,2,0,2.6,2161,37,74.4,564,166,5,399,80.8,5,1,4,2.2,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,180095,0,0,0,0,2,0,0,148,6925,6777,46,0,0,0,0,6,2.9,1921,37,461.5,400.2,146,5,346,101.2,5,0,4,2.8,7,0
0,34,0,0,0,19,1,0,23,0,0,0,0,0,0,0,0.4,4.4,0,0,0,90,0,0,5,0,0,0,0,5,0,0,791270,0,0,0,3,0,0,6,-4112,4971,9083,49,0,0,0,0,0,3.7,2520,39,10,605.8,0,10,485,61.5,7,0,1,12.7,7,0
0,58,0,0,0,27,1,9,54,0.6,0,0,0,0,0,0,3,29.2,0,0,0,90,0,0,18,0,0,0,0,1,0,0,44565,1,0,0,0,5,0,6,12656,13840,1184,49,1,0,0,1,0,3.6,815,7,23,242.8,63,5,218,32.9,5,0,3,0.7,7,0
0,73,1,2,0,8,1,0,62,40.9,1,0,0,0,0,0,10.8,8.4,3,0,0,90,1,0,19,0,0,0,0,3,0,0,261552,3,1,2,0,1,59,3,6457,12401,5944,85,1,0,0,6,4,4.4,1713,12,826.4,543,889,11,463,225.9,10,0,1,4.2,7,0
0,15,0,1,0,-3,0,0,13,31.8,2,0,0,2,2,0,7,6.4,3,0,0,90,0,0,6,0,0,0,0,2,0,0,845783,7,1,1,0,2,32,1,45415,49336,3921,124,0,0,1,15,6,5.9,2063,26,384.2,738.8,1130,21,509,225.3,8,0,5,13.7,7,0
0,17,0,0,0,11,0,12,12,0.1,0,0,0,1,1,0,2.1,20.6,0,0,0,90,0,0,13,0,0,0,0,2,0,0,31591,0,0,0,0,1,0,2,2256,2782,526,42,0,0,0,0,1,1.8,1236,23,39,260.8,105,1,190,40.4,1,0,1,0.5,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,23379,0,0,0,0,1,0,0,-777,686,1463,48,0,0,0,1,3,2.4,1602,22,219.9,266,105,2,245,59,4,1,5,0.4,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14448,0,0,0,0,1,0,0,-62,45,107,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30785,0,0,0,0,1,0,0,-122,1963,2085,42,0,0,0,2,0,2.6,776,11,44.2,241.4,124,4,167,40.8,2,0,5,0.5,7,0
