assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,first_name,second_name,id
0,0,0,100,100,0,153256,0,0,-2,2,0,0,0,3,1,0,0,Mohamed,0,0,0,0,16,FALSE,0,0,0,0,0,0,,2018-10-31T10:31:13Z,43,0,0,0,153256.jpg,0,0,0,Elneny,2.2,FALSE,4,a,1,3,0,0,84152,173,145206,984,0,0,Elneny,0,Mohamed,Elneny,16
2,2,208,100,0,2,84450,0,0,-2,2,275.6,0,0,3,3,0,0,Granit,2,17,2,67.4,17,FALSE,317.4,0,0,0,0,1194,,2018-12-02T17:01:15Z,53,0,0,0,84450.jpg,3,0,0,Xhaka,3,FALSE,34,a,1,3,79,42,154470,1044,245405,4510,0.4,7.9,Xhaka,5,Granit,Xhaka,17
1,4,127,100,100,0,57249,0,0,-3,3,204.3,1,0,3,4,3,1,Henrikh,3,14,2,65.8,18,FALSE,162.6,0,0,0,0,703,,2018-09-21T11:31:13Z,67,0,0,0,57249.jpg,3,0,0,Mkhitaryan,5.1,FALSE,7,a,1,3,290,36,754751,2661,1211625,1913,0.4,5.4,Mkhitaryan,0,Henrikh,Mkhitaryan,18
0,0,0,0,0,0,200641,0,0,-1,1,0,0,0,3,0,0,0,Reiss,0,0,0,0,19,FALSE,0,0,0,0,0,0,Season-long loan to Hoffenheim,2018-09-02T07:29:58Z,44,0,0,0,200641.jpg,0,0,0,Nelson,0.4,FALSE,48,u,1,3,0,0,4078,0,30518,60,0,0,Nelson,0,Reiss,Nelson,19
0,0,7,100,100,0,154043,0,0,-1,1,10.3,0,0,3,1,0,0,Ainsley,0,1,0,2.1,20,FALSE,10.8,0,0,0,0,34,,2018-08-12T16:01:12Z,44,0,0,0,154043.jpg,1,0,0,Maitland-Niles,0.2,FALSE,15,a,1,3,0,1,5571,36,27340,86,0,0.2,Maitland-Niles,0,Ainsley,Maitland-Niles,20
1,3,63,0,0,0,50175,0,0,0,0,56.8,0,0,4,0,0,0,Danny,0,3,1,19.5,21,FALSE,73.6,0,0,0,0,146,Ankle injury - Unknown return date,2018-11-08T23:01:14Z,65,0,0,0,50175.jpg,2.4,0,0,Welbeck,0.5,FALSE,23,i,1,3,66,19,28077,25,44595,196,0,2.9,Welbeck,0,Danny,Welbeck,21
5,10,239,75,75,2,59966,0,0,1,-1,189.4,1,0,4,3.2,2.5,4,Alexandre,3.3,12,6,104,22,FALSE,358.4,0,0,0,0,965,,2018-11-25T13:01:16Z,96,0,0,0,59966.jpg,5.1,0,0,Lacazette,9.2,FALSE,9,a,1,3,496,71,1117143,25312,868836,7275,0.3,7.4,Lacazette,1,Alexandre,Lacazette,22
3,16,348,100,100,3,54694,1,-1,2,-2,204.3,3,0,4,8,7,2,Pierre-Emerick,7,16,10,109.3,23,TRUE,437.8,0,0,0,0,1120,,2018-11-18T23:31:16Z,112,0,0,0,54694.jpg,6.2,0,0,Aubameyang,26.8,FALSE,14,a,1,3,453,93,1556410,161439,1066673,3274,0.6,8.3,Aubameyang,0,Pierre-Emerick,Aubameyang,23
0,2,255,100,100,4,40349,0,0,0,0,0,0,0,1,1.3,2.8,3,Asmir,2.3,22,0,32.6,24,FALSE,324.6,0,0,0,0,1350,,2018-11-13T09:31:15Z,45,0,0,0,40349.jpg,3.2,0,44,Begovic,4,FALSE,27,a,2,91,0,48,111981,355,146193,1595,0.5,10.7,Begovic,0,Asmir,Begovic,24
0,0,0,None,None,0,18726,0,0,0,0,0,0,0,1,-1,0.5,0,Artur,0,0,0,0,25,FALSE,0,0,0,0,0,0,,None,40,0,0,0,18726.jpg,0,0,0,Boruc,6.1,FALSE,1,a,2,91,0,0,71027,474,127119,1009,0,0,Boruc,0,Artur,Boruc,25
2,0,203,100,100,3,15149,0,0,-1,1,137.9,0,0,2,0.8,2.3,1,Simon,1.8,17,0,46.2,26,FALSE,290,0,0,0,0,1002,,2018-11-03T12:31:13Z,44,0,0,0,15149.jpg,2.4,0,0,Francis,0.5,FALSE,2,a,2,91,35,34,20048,306,21260,421,0.4,7.7,Francis,1,Simon,Francis,26
1,3,280,None,None,4,56917,0,0,1,-1,26.8,1,0,2,0.3,1.8,2,Steve,1.3,22,1,55.3,27,FALSE,409,0,0,0,0,1350,,None,46,0,0,0,56917.jpg,3.2,0,0,Cook,8.3,FALSE,3,a,2,91,117,48,666548,2208,363886,4376,0.3,10.4,Steve Cook,1,Steve,Cook,27
0,0,129,100,100,2,41320,0,0,-3,3,123.5,0,0,2,0.3,1.8,1,Charlie,1.3,10,0,32.6,28,FALSE,148.6,0,0,0,0,690,,2018-10-27T14:01:13Z,42,0,0,0,41320.jpg,2.4,0,0,Daniels,4.4,FALSE,11,a,2,91,55,19,63166,401,677451,1089,0.3,4.5,Daniels,2,Charlie,Daniels,28
0,0,184,0,0,4,54469,-1,1,-1,1,70.2,0,0,2,0,0,0,Adam,0.3,12,1,29.4,29,FALSE,172.4,0,0,0,0,965,Knee injury - Expected back 23 Feb,2018-11-10T17:31:13Z,44,0,0,0,54469.jpg,3.1,1,0,Smith,0.6,FALSE,15,i,2,91,51,37,60000,7,66871,931,0.1,8.2,Adam Smith,1,Adam,Smith,29
0,0,23,None,None,0,149484,0,0,-2,2,0.4,0,0,2,-0.5,1,1,Tyrone,0.5,3,0,3.5,30,FALSE,34.4,0,0,0,0,91,,None,43,0,0,0,149484.jpg,1,0,0,Mings,0.1,FALSE,26,a,2,91,0,2,1376,24,6385,33,0.1,0.5,Mings,0,Tyrone,Mings,30
0,4,263,100,100,4,126184,0,0,0,0,13,0,0,2,0,1.5,2,Nathan,1,22,1,57.7,31,FALSE,403.2,0,0,0,0,1350,,2018-08-05T11:01:10Z,50,0,0,0,126184.jpg,3.1,0,0,Aké,4.8,FALSE,5,a,2,91,161,46,185224,999,158382,2487,0.2,9.2,Aké,1,Nathan,Aké,31
0,0,0,None,None,0,222434,0,0,-1,1,0,0,0,2,-1,0.5,0,Jack,0,0,0,0,32,FALSE,0,0,0,0,0,0,,None,39,0,0,0,222434.jpg,0,0,0,Simpson,4.1,FALSE,25,a,2,91,0,0,60009,220,156548,1049,0,0,Simpson,0,Jack,Simpson,32
0,0,91,100,100,2,48615,0,0,-1,1,84.5,0,0,3,1.5,1,2,Harry,1.5,21,0,25.2,33,FALSE,100.8,0,0,0,0,986,,2018-11-04T12:01:15Z,49,0,0,0,48615.jpg,1.7,0,0,Arter,0.2,FALSE,7,a,5,97,66,20,2771,18,10896,36,0.3,4.1,Arter,5,Harry,Arter,33
0,0,0,100,100,0,20037,0,0,-2,2,0,0,0,3,-1,0.5,0,Marc,0,0,0,0,34,FALSE,0,0,0,0,0,0,,2018-08-29T15:31:12Z,43,0,0,0,20037.jpg,0,0,0,Pugh,0.4,FALSE,7,a,2,91,0,0,6062,58,24219,132,0,0,Pugh,0,Marc,Pugh,34
0,0,63,None,None,1,15237,0,0,-4,4,56.6,0,0,3,-0.5,1,0,Andrew,0.5,11,0,13.4,35,FALSE,62,0,0,0,0,448,,None,46,0,0,0,15237.jpg,1.7,0,0,Surman,0.2,FALSE,6,a,2,91,15,12,7282,26,20294,71,0.1,2.6,Surman,1,Andrew,Surman,35
1,3,64,100,100,0,56872,0,0,0,0,90.9,0,0,3,-0.2,1.3,1,Junior,0.8,3,1,27.3,36,FALSE,84.6,0,0,0,0,227,,2018-11-10T17:31:13Z,60,0,0,0,56872.jpg,2.2,0,0,Stanislas,0.1,FALSE,19,a,2,91,97,20,7176,22,7412,90,0.1,3.3,Stanislas,1,Junior,Stanislas,36
0,0,79,75,75,1,40387,0,0,-2,2,86.2,0,0,3,-0.1,1,0,Dan,0.8,10,0,25.5,37,FALSE,116.4,0,0,0,0,656,Knee injury - 75% chance of playing,2018-11-30T10:01:14Z,48,0,0,0,40387.jpg,1.3,0,0,Gosling,0.1,FALSE,4,d,2,91,54,16,3070,5,6079,51,0.2,3.3,Gosling,3,Dan,Gosling,37
0,0,13,None,None,0,103912,0,0,-5,5,74.6,0,0,3,-0.5,1,0,Jordon,0.5,5,0,14.7,38,FALSE,18.6,0,0,0,0,146,,None,50,0,0,0,103912.jpg,1.2,0,0,Ibe,0.2,FALSE,10,a,2,91,54,6,2562,19,22881,70,0.1,1.2,Ibe,0,Jordon,Ibe,38
0,0,91,None,None,3,155408,0,0,-2,2,50.4,0,0,3,0.3,1.8,1,Lewis,1.3,10,0,16.5,39,FALSE,76,0,0,0,0,719,,None,48,0,0,0,155408.jpg,1.7,0,0,Cook,0.2,FALSE,16,a,2,91,36,22,6745,51,14522,134,0.3,4.6,Lewis Cook,2,Lewis,Cook,39
7,12,337,100,100,4,90105,0,0,7,-7,520.3,3,0,3,4.5,6,12,Ryan,5.5,20,4,122.3,40,TRUE,420.6,0,0,0,0,1269,,2018-10-20T13:01:16Z,62,0,0,0,90105.jpg,5.7,0,0,Fraser,27.1,FALSE,24,a,2,91,281,86,2180176,44563,781026,5083,0.9,13.9,Fraser,1,Ryan,Fraser,40
0,0,0,0,0,0,122342,0,0,0,0,0,0,0,3,0,0,0,Emerson,0,0,0,0,41,FALSE,0,0,0,0,0,0,Loaned to Hibernian,2018-08-09T20:43:58Z,45,0,0,0,122342.jpg,0,0,0,Hyndman,0,FALSE,22,u,2,91,0,0,60,1,2427,11,0,0,Hyndman,0,Emerson,Hyndman,41
1,2,152,None,None,4,111317,0,0,2,-2,181.4,0,0,3,1.5,3,2,David,2.5,15,3,73,42,FALSE,226.4,0,0,0,0,964,,None,52,0,0,0,111317.jpg,3.4,0,0,Brooks,3.3,FALSE,20,a,2,91,321,48,272080,2216,92969,5390,0.5,9.2,Brooks,1,David,Brooks,42
8,11,290,None,None,4,75115,1,-1,10,-10,250.3,4,0,4,4.5,6,12,Callum,5.5,20,8,129.3,43,TRUE,409,0,0,0,0,1321,,None,70,0,1,0,75115.jpg,6.1,0,0,Wilson,39,FALSE,13,a,2,91,636,92,2702033,69854,813655,7095,0.8,13.3,Wilson,3,Callum,Wilson,43
0,0,13,100,100,0,178304,0,0,-1,1,2.2,0,0,4,-0.5,1,0,Lys,0.5,3,0,0.6,44,FALSE,0.4,0,0,0,0,33,,2018-09-01T13:01:13Z,49,0,0,0,178304.jpg,0.9,0,0,Mousset,0.2,FALSE,9,a,2,91,4,6,7889,35,15057,69,0.1,1.2,Mousset,1,Lys,Mousset,44
1,9,178,100,100,4,78007,0,0,-2,2,179.9,2,0,4,1.8,3.3,2,Joshua,2.8,15,5,75.3,45,FALSE,245.4,0,0,0,0,1034,,2018-10-26T10:01:17Z,63,0,0,0,78007.jpg,4.6,0,0,King,2.7,FALSE,17,a,2,91,333,55,296902,2390,564190,3558,0.4,8.7,King,1,Joshua,King,45
0,0,12,None,None,0,7958,0,0,-4,4,0,0,0,4,-0.7,0.8,0,Jermain,0.3,2,0,2.6,46,FALSE,3,0,0,0,0,22,,None,56,0,0,0,7958.jpg,1,0,0,Defoe,0.4,FALSE,18,a,2,91,23,4,8278,48,38210,169,0.1,0.7,Defoe,0,Jermain,Defoe,46
0,7,269,100,100,3,131897,0,0,1,-1,0,0,0,1,2.8,2.8,3,Mathew,2.3,21,0,36.8,47,FALSE,368.6,0,0,0,0,1350,,2018-11-26T14:01:15Z,46,0,0,0,131897.jpg,3.7,0,52,Ryan,5.9,FALSE,1,a,3,36,0,55,223178,539,159410,3156,0.5,12,Ryan,0,Mathew,Ryan,47
0,5,239,100,100,3,83299,0,0,0,0,36.6,1,0,2,4.5,4.5,2,Lewis,4,18,2,47.8,48,FALSE,350.8,0,0,0,0,1189,,2018-09-01T13:01:13Z,45,0,0,0,83299.jpg,3.4,0,0,Dunk,4.7,FALSE,5,a,3,36,90,47,232647,7301,125075,2577,0.9,10.4,Dunk,2,Lewis,Dunk,48
2,5,264,0,100,3,61933,0,0,2,-2,47.4,2,0,2,0,3,-2,Shane,2.5,21,3,69.5,49,FALSE,496.2,0,0,0,0,1287,Suspended until 26 Dec,2018-12-04T22:01:16Z,47,0,0,0,61933.jpg,3.7,1,0,Duffy,7.3,FALSE,4,s,3,36,151,56,437856,729,194372,43157,0.5,11.9,Duffy,3,Shane,Duffy,49
1,4,119,100,100,3,11352,0,0,-1,1,62.5,1,0,2,1,1,0,Bruno,0.5,5,0,16.8,50,FALSE,91,0,0,0,0,529,,2018-12-01T17:31:14Z,44,0,0,0,11352.jpg,4.1,0,0,Saltor Grau,0.7,FALSE,2,a,3,36,14,29,48833,46,30266,866,0.1,6.6,Bruno,2,Bruno,Saltor Grau,50
0,0,155,100,100,3,42748,0,0,0,0,58.9,0,0,2,0.8,0.8,0,Gaëtan,0.3,18,0,18.1,51,FALSE,123.2,0,0,0,0,1054,,2018-10-20T13:01:16Z,45,0,0,0,42748.jpg,2.3,0,0,Bong,0.2,FALSE,3,a,3,36,0,28,6642,27,7573,140,0.1,6.2,Bong,0,Gaëtan,Bong,51
0,0,0,None,None,0,43808,0,0,-2,2,0,0,0,2,0.5,0.5,0,Markus,0,0,0,0,52,FALSE,0,0,0,0,0,0,,None,38,0,0,0,43808.jpg,0,0,0,Suttner,5,FALSE,29,a,3,36,0,0,58724,1317,227228,1258,0,0,Suttner,0,Markus,Suttner,52
0,0,0,None,None,0,74375,0,0,-2,2,0,0,0,2,0.5,0.5,0,Ezequiel,0,0,0,0,53,FALSE,0,0,0,0,0,0,,None,38,0,0,0,74375.jpg,0,0,0,Schelotto,1.6,FALSE,21,a,3,36,0,0,26368,828,71918,410,0,0,Schelotto,0,Ezequiel,Schelotto,53
0,0,40,None,None,0,52484,0,0,-3,3,0.7,1,0,2,2.3,2.3,7,Leon,1.8,4,1,10.1,54,FALSE,79.6,0,0,0,0,231,,None,42,0,0,0,52484.jpg,2.3,0,0,Balogun,0.1,FALSE,14,a,3,36,21,9,3047,577,7252,53,0.4,2.1,Balogun,2,Leon,Balogun,54
