assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
-0.176470588,65,0,0,-0.117647059,5.235294118,0.735294118,1,59,20.51176471,0,0,0,2,-0.382352941,-4,4.647058824,1.694117647,2,0,0,28.20588235,0,1,18,0,0,0,0,3,0,0,90435,1,1,1,1,0,24.23529412,3,16409,25642,9233,71,0,0,0,4,0.176470588,91,38.79411765,0.382352941,11.38823529,12.30588235,14.76470588,0.117647059,8.764705882,3.852941176,0.264705882,0,0,1.7
-0.176470588,62,1,0,-0.029411765,8.323529412,0.882352941,0,55,74.58235294,1,0,0,0,-0.764705882,-3,14.42647059,19.8,7,0,0,40.05882353,0,1,18,0,0,0,0,2,0,0,99400,4,0,0,1,0,49.58823529,3,-4660,2701,7361,54,0,0,0,3,0.176470588,84,49.94117647,0.764705882,14.71764706,11.6,15.41176471,0.029411765,9.676470588,4.173529412,0.117647059,0,0,1.6
0,0,0,0,0,-0.735294118,0,0,0,-0.95,0,0,0,0,-0.058823529,0,-0.388235294,-1.423529412,0,0,0,-6.470588235,0,0,18,0,0,0,0,0,0,0,144788,0,0,0,1,0,-1.5,0,-1067,953,2020,42,0,0,0,0,0,6,6.470588235,0.058823529,0.95,1.423529412,1.5,0,0.735294118,0.388235294,0,0,0,2.3
-0.058823529,100,0,0,-0.235294118,3.823529412,0.794117647,4,88,14.67352941,0,0,0,1,-0.882352941,-4,3.367647059,8.335294118,2,0,0,24.05882353,0,1,18,0,0,0,0,6,0,0,141010,0,0,0,1,0,10.44117647,3,-3358,299,3657,52,0,0,-0.235294118,4,0.058823529,83,65.94117647,0.882352941,16.62647059,17.06470588,5.558823529,0.235294118,12.17647059,3.932352941,0.205882353,0,0.235294118,2.2
-0.117647059,43,1,1,-0.352941176,1.676470588,0.911764706,2,35,7.45,0,0,0,0,-0.588235294,-6,4.717647059,-1.441176471,1,0,0,50.52941176,0,1,18,0,0,0,0,6,0,0,318878,2,0,2,1,0,41.38235294,3,-16147,6345,22492,68,0,0,-0.029411765,6,0.117647059,91,39.47058824,0.588235294,11.35,11.84117647,14.61764706,0.352941176,9.323529412,3.782352941,0.088235294,0,0.029411765,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24270,0,0,0,1,0,0,0,-34,2,36,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
-0.029411765,15,0,0,-0.088235294,0.117647059,-0.058823529,1,14,-1.261764706,0,0,0,0,-0.352941176,-1,0.005882353,2.764705882,0,0,0,-1.911764706,0,0,18,0,0,0,0,3,0,0,27453,0,0,0,1,0,-1.470588235,1,163,1847,1684,44,0,0,-0.029411765,1,0.029411765,33,23.91176471,0.352941176,2.661764706,5.835294118,3.470588235,0.088235294,3.882352941,1.194117647,0.058823529,0,0.029411765,0.4
-0.029411765,0,0,0,-0.088235294,-1.852941176,0,0,0,-1.670588235,0,0,0,0,-0.088235294,-1,-0.573529412,-2.164705882,0,0,0,-4.294117647,0,0,18,0,0,0,0,0,0,0,28171,0,0,0,1,0,-1.941176471,0,-56,62,118,64,0,0,0,1,0.029411765,19,4.294117647,0.088235294,1.670588235,2.164705882,1.941176471,0.088235294,1.852941176,0.573529412,0,0,0,0.4
-0.323529412,0,0,0,-0.588235294,-15.44117647,-0.176470588,0,0,-12.13823529,0,0,0,0,-0.676470588,-13,-6.585294118,-22.42941176,0,0,0,-63.20588235,0,0,18,0,0,0,0,0,0,0,712627,0,0,0,1,0,-31.38235294,0,18477,105627,87150,94,0,0,-0.058823529,13,0.323529412,155,63.20588235,0.676470588,12.13823529,22.42941176,31.38235294,0.588235294,15.44117647,6.585294118,0.176470588,0,0.058823529,11.6
-0.205882353,22,0,1,-0.764705882,5.323529412,0.794117647,0,15,-7.864705882,1,0,0,0,-1,-17,5.408823529,6.594117647,0,0,0,20.52941176,3,0,18,0,0,0,0,0,0,0,1194216,2,0,2,1,0,55.41176471,6,-31354,49772,81126,109,0,1,0,18,0.205882353,175,69.47058824,1,12.16470588,24.20588235,36.58823529,0.764705882,18.67647059,7.291176471,0.205882353,0,0,19.7
0,0,0,0,-0.117647059,-10.67647059,-0.147058824,0,0,0,0,0,0,0,-1.382352941,0,-1.3,-12.95882353,0,0,0,-63.52941176,0,0,3,0,0,0,0,0,0,0,187470,0,0,0,5,0,0,0,-3158,1902,5060,43,0,0,0,0,0,63,63.52941176,1.382352941,0,12.95882353,0,0.117647059,10.67647059,1.3,0.147058824,0,0,2.9
