,assists,predF_pts_rf,predd_team_rf,first_name,second_name,,,,,,,,,,,,
301,0.882352941,3.180933333,0.111233333,Anthony,Martial,,,,,,,,,,,,
309,0,4.036033333,0.111015152,Martin,Dubravka,,,,,,,,,,,,
213,0,3.105833333,0.107433333,Kasper,Schmeichel,,,,,,,,,,,,
280,-0.294117647,3.019533333,0.1072,Sergio,Agüero,,,,,,,,,,,,
376,0,3.232233333,0.107166667,Craig,Cathcart,,,,,,,,,,,,
591,-0.117647059,3.753666667,0.1038,Youri,Tielemans,,,,,,,,,,,,
258,0.941176471,3.667533333,0.103233333,Danny,Ings,,,,,,,,,,,,
484,-0.117647059,3.4673,0.098433333,Lucas,Digne,,,,,,,,,,,,
175,-0.117647059,4.161066667,0.097766667,Dominic,Calvert-Lewin,,,,,,,,,,,,
394,-0.147058824,2.1651,0.094333333,Gerard,Deulofeu,,,,,,,,,,,,
172,-0.117647059,2.9176,0.093866667,Gylfi,Sigurdsson,,,,,,,,,,,,
323,-0.088235294,2.245666667,0.093366667,Isaac,Hayden,,,,,,,,,,,,
579,0,2.389266667,0.092566667,Gonzalo,Higuaín,,,,,,,,,,,,
13,-0.088235294,2.985766667,0.091633333,Mesut,Özil,,,,,,,,,,,,
31,-0.029411765,3.154666667,0.0915,Nathan,Aké,,,,,,,,,,,,
281,-0.088235294,3.606833333,0.0911,Gabriel Fernando,de Jesus,,,,,,,,,,,,
355,0,3.278,0.091,Jan,Vertonghen,,,,,,,,,,,,
282,0,3.219666667,0.090533333,David,de Gea,,,,,,,,,,,,
14,-0.176470588,3.7524,0.090066667,Aaron,Ramsey,,,,,,,,,,,,
154,0,2.954866667,0.0897,Jordan,Pickford,,,,,,,,,,,,
367,0.764705882,3.518633333,0.0888,Heung-Min,Son,,,,,,,,,,,,
55,-0.176470588,3.371,0.088233333,Anthony,Knockaert,,,,,,,,,,,,
247,-0.294117647,4.502366667,0.087866667,Andrew,Robertson,,,,,,,,,,,,
17,-0.058823529,3.294833333,0.087466667,Granit,Xhaka,,,,,,,,,,,,
149,-0.117647059,2.875133333,0.083533333,Andros,Townsend,,,,,,,,,,,,
124,-0.205882353,2.759533333,0.0831,Willian,Borges Da Silva,,,,,,,,,,,,
88,0,4.3188,0.083033333,Neil,Etheridge,,,,,,,,,,,,
268,-0.058823529,2.890266667,0.0821,Aymeric,Laporte,,,,,,,,,,,,
95,0,2.950066667,0.081633333,Lee,Peltier,,,,,,,,,,,,
184,-0.205882353,2.441366667,0.081566667,Ryan,Sessegnon,,,,,,,,,,,,
147,0.823529412,2.736,0.0815,James,McArthur,,,,,,,,,,,,
131,-0.029411765,3.241866667,0.0807,Callum,Hudson-Odoi,,,,,,,,,,,,
475,0.764705882,3.0835,0.079266667,João Filipe Iria,Santos Moutinho,,,,,,,,,,,,
489,-0.147058824,3.7397,0.078666667,Robert,Snodgrass,,,,,,,,,,,,
483,-0.029411765,2.8946,0.076733333,Jonathan,Castro Otto,,,,,,,,,,,,
425,-0.176470588,3.8778,0.076,Matt,Doherty,,,,,,,,,,,,
427,0,2.1629,0.075466667,Ryan,Bennett,,,,,,,,,,,,
395,-0.058823529,2.6441,0.074933333,Andre,Gray,,,,,,,,,,,,
3,0,2.641866667,0.074566667,Laurent,Koscielny,,,,,,,,,,,,
392,-0.117647059,2.453866667,0.072633333,Will,Hughes,,,,,,,,,,,,
56,-0.029411765,2.8255,0.072533333,Dale,Stephens,,,,,,,,,,,,
137,0,2.951366667,0.071933333,Vicente,Guaita,,,,,,,,,,,,
353,0,2.779566667,0.0719,Toby,Alderweireld,,,,,,,,,,,,
482,-0.029411765,2.5507,0.071866667,Fabian,Schär,,,,,,,,,,,,
126,-0.117647059,3.625766667,0.071666667,N'Golo,Kanté,,,,,,,,,,,,
260,-0.029411765,3.474,0.071572549,Ederson,Santana de Moraes,,,,,,,,,,,,
182,-0.029411765,2.8718,0.069133333,Tom,Cairney,,,,,,,,,,,,
