assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,gw16_pts,dream_team
-0.066666667,17,0,0,-0.266666667,-3,-0.133333333,10,11,-1.526666667,2,0,0,2,1.333333333,-0.133333333,-2.366666667,-9.426666667,0,0,0,6,0,0,19,0,0,0,0,7,0,0,77491,0,1,0,1,3,-12.8,0,-562,2516,3078,45,0,0,0.866666667,0.133333333,0.066666667,84,1.666666667,1.626666667,27.22666667,12.8,0.266666667,15,4.166666667,0.133333333,0,0.133333333,1.3,9,0
-0.066666667,22,0,0,-0.2,-3.266666667,-0.066666667,2,14,3.946666667,2,0,0,3,1.733333333,-0.2,-2.533333333,-5.653333333,1,0,0,8.866666667,0,0,19,0,0,0,0,2,0,0,79940,1,0,0,1,3,-23.33333333,2,-5398,6907,12305,53,0,0,-0.133333333,0.2,0.066666667,63.13333333,1.266666667,10.75333333,11.25333333,23.33333333,0.2,9.266666667,4.533333333,0.066666667,0,0.133333333,1.3,9,0
0.6,50,1,0,-0.866666667,1.666666667,-0.333333333,1,39,32.50666667,2,0,0,0,1.333333333,-0.466666667,4.593333333,-1.893333333,6,0,0,19.86666667,0,0,20,0,0,0,0,4,0,0,2079731,2,0,2,1,2,15.06666667,5,-97961,47694,145655,110,0,0,-0.133333333,0.466666667,0.4,70.13333333,0.666666667,41.09333333,34.89333333,39.93333333,0.866666667,23.33333333,11.60666667,0.333333333,0,0.133333333,34.8,9,0
-0.133333333,54,0,0,0,-5.2,-0.466666667,2,48,-6.273333333,2,0,0,1,1.133333333,-0.066666667,-2.393333333,-8.64,1,0,0,-13.06666667,0,0,20,0,0,0,0,2,0,0,963782,2,0,1,1,2,-9.4,2,16843,31028,14185,49,0,0,-0.2,0.066666667,0.133333333,89.06666667,0.866666667,20.47333333,17.04,12.4,0,15.2,4.993333333,0.466666667,0,0.2,16.3,9,0
-0.2,18,0,0,1.4,14.73333333,-0.733333333,1,16,-7.44,1,0,0,1,-0.133333333,0.733333333,1.886666667,19.77333333,1,0,0,-50.06666667,0,0,4,0,0,0,0,1,0,0,989784,0,0,0,3,1,5.866666667,7,-36354,23186,59540,92,0,1,0,0.266666667,0.2,74.06666667,0.133333333,18.94,18.42666667,29.13333333,0.6,16.26666667,6.613333333,0.733333333,0,0,16.7,9,0
-0.066666667,5,1,0,-0.2,3.066666667,-0.2,4,2,-4.72,1,0,0,0,-1.066666667,-0.066666667,-1.953333333,1.906666667,1,0,0,-44.8,0,0,8,0,0,0,0,2,0,0,70473,0,1,0,1,1,-17,1,-4179,1070,5249,61,0,0,0,0.066666667,0.066666667,70.8,1.066666667,18.02,13.49333333,17,0.2,8.933333333,4.853333333,0.2,0,0,1.2,9,0
-0.066666667,0,0,0,0,-4.066666667,-0.066666667,0,0,-4.86,0,0,0,0,-0.4,0,-1.146666667,-6.04,0,0,0,-23.33333333,0,0,16,0,0,0,0,0,0,0,39081,0,0,0,1,3,-0.533333333,0,2132,2967,835,58,1,0,-0.066666667,0,0.066666667,23.33333333,0.4,4.86,6.04,0.533333333,0,4.066666667,1.146666667,0.066666667,0,0.066666667,0.7,9,0
-0.133333333,5,0,0,-0.333333333,-5.6,-0.133333333,1,4,2.72,0,0,0,0,0.266666667,-0.133333333,-2.6,-9.786666667,1,0,0,-31.73333333,0,0,16,0,0,0,0,0,0,0,199375,0,0,0,1,3,-18.6,1,20297,26057,5760,89,1,0,-0.066666667,0.133333333,0.133333333,42.73333333,0.733333333,7.38,12.98666667,18.6,0.333333333,9.6,3.9,0.133333333,0,0.066666667,3.3,9,0
-0.066666667,16,0,0,-0.266666667,-2.733333333,0.8,0,7,-0.1,0,0,0,1,-0.533333333,-0.2,-2.146666667,-8.146666667,0,0,0,30,0,0,5,0,0,0,0,1,0,0,116574,0,0,0,1,3,-11.53333333,2,49681,52048,2367,62,1,0,0,0.2,0.066666667,33,0.533333333,3.9,8.146666667,11.53333333,0.266666667,7.733333333,2.346666667,0.2,0,0,2.2,9,0
0,30,0,0,-0.066666667,4.333333333,-0.2,2,11,-2,0,0,0,0,0.6,0,1.853333333,20.78666667,0,0,0,0,0,0,13,0,0,0,0,8,0,5,233706,0,1,0,2,1,0,2,-8894,682,9576,45,1,0,0,0,0,90,1.4,2,20.41333333,0,0.066666667,16.66666667,2.246666667,0.2,0,0,3.9,9,1
-0.133333333,46,2,0,-0.2,9.333333333,0,0,37,28.64666667,0,1,0,0,1.533333333,0,4.173333333,3.266666667,3,0,0,61.66666667,1,1,14,0,0,0,0,2,0,0,37703,1,0,0,2,2,9.866666667,1,8782,10169,1387,49,0,0,0,0,0.133333333,28.33333333,0.466666667,9.953333333,4.333333333,4.133333333,0.2,5.666666667,1.826666667,0,0,0,0.9,8,0
-0.133333333,17,0,0,-0.133333333,-5.133333333,-0.2,8,11,-3.42,0,0,0,0,0.866666667,0,-0.1,-9.666666667,0,0,0,0,0,0,12,0,0,0,0,4,0,0,124660,0,0,0,3,1,12.33333333,1,-7496,350,7846,48,1,0,-0.133333333,0,0.133333333,90,2.133333333,3.52,26.86666667,4.666666667,0.133333333,16.13333333,3.5,0.2,0,0.133333333,2.1,8,0
0,26,0,0,-0.2,5.466666667,-0.133333333,1,7,0,0,0,0,0,1,0,3.4,34.34666667,0,0,0,0,0,0,19,0,0,0,0,11,0,8,334299,0,0,0,1,3,0,3,-5873,652,6525,45,0,0,-0.066666667,0,0,90,2,0,32.05333333,0,0.2,19.53333333,3.2,0.133333333,0,0.066666667,5.6,8,0
-0.133333333,67,1,0,-0.133333333,0.933333333,-0.466666667,9,56,3.326666667,1,0,0,0,1.133333333,0,0.853333333,10.09333333,1,0,0,0,0,2,20,0,0,0,0,3,0,0,586464,0,1,0,1,2,-5.133333333,1,1895,9760,7865,63,0,0,-0.066666667,0,0.133333333,90,0.866666667,18.67333333,21.50666667,5.133333333,0.133333333,23.06666667,4.546666667,0.466666667,0,0.066666667,9.9,8,0
0,0,0,0,0,-8.866666667,-0.133333333,0,0,-9.766666667,0,0,0,0,-0.8,0,-2.573333333,-10.37333333,0,0,0,-53.93333333,0,0,16,0,0,0,0,0,0,0,131855,0,0,0,1,3,-5.533333333,0,3039,5760,2721,56,1,0,-0.066666667,0,0,53.93333333,0.8,9.766666667,10.37333333,5.533333333,0,8.866666667,2.573333333,0.133333333,0,0.066666667,2.2,8,0
-0.266666667,34,1,1,0.533333333,16.8,-0.2,4,26,-4.353333333,0,0,0,0,0.6,0.933333333,12.70666667,28.94666667,1,0,0,0,0,0,13,0,0,0,0,7,0,0,82749,2,2,0,2,1,102.6,8,-5845,784,6629,59,1,0,-0.133333333,0.066666667,0.266666667,90,1.4,16.15333333,19.45333333,17.4,0.466666667,16.2,5.293333333,0.2,0,0.133333333,1.4,8,0
0,31,0,0,-0.533333333,-3.2,-0.2,3,24,-11.75333333,1,0,1,0,0.6,-0.333333333,-3.673333333,-10.48,0,0,0,5.4,0,0,13,0,0,0,0,5,0,0,925140,2,2,1,2,1,-14.8,2,-117928,10432,128360,63,1,0,-0.066666667,0.333333333,0,84.6,1.4,13.55333333,16.28,22.8,0.533333333,14.2,5.273333333,0.2,0,0.066666667,15.5,8,0
1.8,35,1,0,1.866666667,34.6,0.866666667,0,29,72.10666667,1,0,0,1,-0.733333333,0,12.1,35.16,6,0,0,20.73333333,0,2,5,0,0,0,0,1,0,0,8977,0,2,0,1,3,13.53333333,11,2743,2976,233,53,1,0,-0.4,0,0.2,54.26666667,0.733333333,23.49333333,11.24,8.466666667,0.133333333,8.4,4.3,0.133333333,0,0.4,0.3,8,0
0,32,0,0,-0.066666667,12.66666667,0,1,23,0,0,0,0,0,1.266666667,0,1.113333333,10.74666667,0,0,0,39,0,0,14,0,0,0,0,12,0,5,103367,0,0,0,2,2,0,2,1130,3448,2318,48,0,0,0,0,0,51,0.733333333,0,13.85333333,0,0.066666667,9.333333333,1.386666667,0,0,0,1.8,7,0
0,19,0,0,-0.333333333,0.066666667,-0.266666667,1,16,0,0,0,0,0,0.266666667,0,0.826666667,8.52,0,0,0,24,0,0,16,0,0,0,0,5,0,4,250415,0,0,0,1,3,0,3,3650,7324,3674,54,1,0,0,0,0,66,0.733333333,0,19.68,0,0.333333333,14.93333333,1.973333333,0.266666667,0,0,4.2,7,0
0,0,0,0,-0.2,-8.4,-0.066666667,0,0,-2.22,0,0,0,0,-0.733333333,-0.066666667,-1.873333333,-12.89333333,0,0,0,-44.6,0,0,16,0,0,0,0,0,-0.066666667,0,255477,0,0,0,1,3,-3.666666667,0,-3340,742,4082,59,1,0,0,0.066666667,0,44.6,0.733333333,2.22,12.89333333,3.666666667,0.2,8.4,1.873333333,0.066666667,0.066666667,0,4.3,7,0
